자치구,법정동,주거점수,교통점수,치안점수,생활점수_x,보증금(만원),임대료(만원),건축년도,공급건수,전월세평균,가격점수,안정성점수,공급점수,노후도점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,살인,강도,강간·강제추행,절도,폭력,CCTV,CCTV밀도(대/㎢),가로등수,가로등밀도(개/㎢),위도(법정동),경도(법정동),근처버스정류장수
성북구,종암동,0.670082493,0.635872126,0.731130047,0.539094027,20427.97154,34.65936447,2004.258307,1405.666667,20462.6309,78.59104302,63.71108807,8.320015784,91.48338543,고려대,0.786532348,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59717398,127.0339033,38
성북구,정릉동,0.723065912,0.549307758,0.731130047,0.539094027,15669.75922,27.10236781,2005.156232,2856.333333,15696.86159,83.66020147,72.43701283,16.90638256,89.68753675,길음,2.757697205,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.61558771,126.9976677,8
성북구,성북동1가,0.641105301,0.757801658,0.731130047,0.539094027,12882.58467,38.78569045,2003.14472,91.33333333,12921.37036,86.61238062,33.33333333,0.540593864,93.71055998,한성대입구,0.297714255,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58952569,127.0037031,28
성북구,상월곡동,0.763302602,0.831543119,0.731130047,0.539094027,15163.36601,26.57728403,2002.815675,338.3333333,15189.9433,84.1993902,98.87441424,2.002564861,94.36865012,상월곡,0.069404232,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.60617019,127.0477741,18
성북구,동선동5가,0.703556982,0.73971101,0.731130047,0.539094027,8226.471769,36.34948301,1999.994571,111.3333333,8262.821252,91.56749322,47.3573862,0.658972082,100.0108572,성신여대입구,0.393431,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59628661,127.0166693,27
성북구,삼선동2가,0.631362034,0.69756531,0.731130047,0.539094027,23787.39536,33.98180641,2003.778707,223,23821.37716,75.01847879,57.81294329,1.319917135,92.44258531,창신,0.569827452,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58387959,127.0113758,25
성북구,동선동3가,0.712709249,0.730027806,0.731130047,0.539094027,5469.840926,38.45353701,2000.820273,249,5508.294463,94.49737333,45.23624414,1.473808819,98.3594541,성신여대입구,0.321858837,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59393207,127.0206836,17
성북구,동선동4가,0.748027134,0.741829833,0.731130047,0.539094027,5526.748354,43.69549992,2004.425671,159,5570.443854,94.43126751,68.86807419,0.941106836,91.1486587,성신여대입구,0.291052385,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59519641,127.0186242,22
성북구,동소문동4가,0.700652078,0.696159761,0.731130047,0.539094027,14323.96322,31.87407629,2002.672888,126.3333333,14355.8373,85.08659544,66.05806563,0.747755746,94.65422406,한성대입구,0.509350927,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59175708,127.0106561,35
성북구,안암동5가,0.806070833,0.733984069,0.731130047,0.539094027,2825.761602,50.19114442,2002.166871,395,2875.952746,97.29729006,86.28902051,2.337969814,95.66625818,안암,0.250288922,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58845695,127.0283853,18
성북구,보문동7가,0.660386246,0.766602353,0.731130047,0.539094027,15312.67699,26.7318287,2011.409867,58,15339.40882,84.0404097,61.94942734,0.343296833,77.1802652,신설동,0.455114732,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.57977369,127.0223785,14
성북구,동선동2가,0.731230066,0.761461563,0.731130047,0.539094027,3663.459956,43.86114841,2002.355803,190,3707.321104,96.41299675,52.2728007,1.124593075,95.28839415,성신여대입구,0.373684717,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59017903,127.0200217,28
성북구,동소문동3가,0.689182139,0.742910983,0.731130047,0.539094027,6379.62963,38.06481481,2016.796296,5.333333333,6417.694444,93.5300809,60.93663597,0.031567525,66.40740741,한성대입구,0.455804502,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59038715,127.0112535,36
성북구,보문동4가,0.661204489,0.789124883,0.731130047,0.539094027,12440.48402,43.39341085,1997.09232,48,12483.87743,87.07772437,33.33333333,0.284107724,105.8153591,보문,0.316849084,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58291804,127.0213675,16
성북구,보문동6가,0.618969211,0.710989028,0.731130047,0.539094027,26061.51427,32.42632088,2010.258144,313.3333333,26093.94059,72.60124385,66.97776854,1.854592088,79.48371108,창신,0.326901307,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58039124,127.0188642,17
성북구,삼선동5가,0.779281945,0.729590171,0.731130047,0.539094027,7858.440941,37.65520452,2002.698605,229,7896.096145,91.95756406,87.77839704,1.355430601,94.60279008,보문,0.474819353,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58854083,127.0158779,31
성북구,보문동2가,0.700088013,0.830867248,0.731130047,0.539094027,7102.536797,43.36140332,2004.304031,164.6666667,7145.8982,92.75551965,48.88026769,0.974647332,91.39193885,보문,0.113543732,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58575728,127.0182315,28
성북구,안암동1가,0.728418763,0.755581139,0.731130047,0.539094027,10844.66797,41.64401004,2002.108584,252.3333333,10886.31198,88.77699093,69.30962571,1.493538522,95.78283247,보문,0.449045676,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58870611,127.022107,27
성북구,보문동3가,0.612118789,0.739429539,0.731130047,0.539094027,33666.92116,41.64213633,2004.968448,84.33333333,33708.5633,64.50187386,76.8830108,0.499161488,90.06310367,보문,0.304306329,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.5839638,127.0163637,29
